#,Category,Name in English,Name in Russian,Duration,Type,Price,Price category,Capacity,Participation category
1,Body,Sunrise Yoga Flow,Йога на Рассвете,1 hour,Short-term workshop,$25,Low,Up to 15 participants,Group
2,Body,Detox Spa Therapy,Спа-Детокс: Легкость и Гармония,2 hours,Short-term workshop,$120,Medium,1 person per session,Solo
3,Body,Personalized Fitness Bootcamp,Персональный Фитнес-Буткемп,3 days,Program,$300,High,1-5 participants,Solo/couple/group
4,Body,Herbal Steam Bath Ritual,Ритуал Травяной Паровой Бани,45 minutes,Short-term workshop,$40,Low,1-2 participants,Solo/couple
5,Body,Healing Touch Massage,Массаж «Целительное Прикосновение»,90 minutes,Short-term workshop,$90,Medium,1 person per session,Solo
6,Body,Aqua Aerobics,Аквааэробика,1 hour,Short-term workshop,$30,Low,Up to 10 participants,Group
7,Body,Pilates for Posture,Пилатес для Здоровой Осанки,1 hour,Short-term workshop,$35,Low,Up to 5 participants,Solo/couple/group
8,Body,3 Days Detox Program,3-Дневная Программа Детокса,3 days,Program,$400,High,Up to 10 participants,Group
9,Body,Nature Hike and Stretch,Активный Отдых с Растяжкой,Half-day,One-day workshop,$50,Low,Up to 20 participants,Group
10,Body,Thai Massage Workshop,Воркшоп по Тайскому Массажу,2 hours,Short-term workshop,$75,Medium,Up to 10 participants,Group
11,Mind,Gong Sound Healing,Звуковая Терапия Гонгом,1 hour,Short-term workshop,$50,Low,Up to 15 participants,Group
12,Mind,Mindful Journaling,Дневник Осознанной Жизни,1 hour,Short-term workshop,$20,Low,Up to 10 participants,Group
13,Mind,Breathwork Therapy,Искусство Осознанного Дыхания,1.5 hours,Short-term workshop,$60,Medium,Up to 12 participants,Group
14,Mind,Silent Mindfulness Retreat,Ретрит Тишины и Осознанности,Half-day,One-day workshop,$70,Medium,Up to 15 participants,Group
15,Mind,Holistic Life Coaching,Целостный Лайф-Коучинг,90 minutes,Short-term workshop,$100,Medium,1 person per session,Solo
16,Mind,Introduction to Meditation,Основы медитации,1 hour,Short-term workshop,$30,Low,Up to 20 participants,Group
17,Mind,Mind Reset Workshop,Мастер-класс по Перезагрузке Сознания,2 hours,Short-term workshop,$80,Medium,Up to 12 participants,Group
18,Mind,Mantra Chanting Circle,Круговая медитация с мантрами,1 hour,Short-term workshop,$25,Low,Up to 15 participants,Group
19,Mind,Zen Garden Meditation,Дзен-медитация в саду,45 minutes,Short-term workshop,$30,Low,Up to 10 participants,Group
20,Mind,Night Sky Mindfulness,Медитация под звездным небом,1 hour,Short-term workshop,$40,Low,Up to 20 participants,Group
21,Soul,Cultural Thai Dance Class,Искусство Тайского Танца,1 hour,Short-term workshop,$40,Low,Up to 10 participants,Group
22,Soul,Ecstatic Dance Workshop,Воркшоп по танцевальной экспрессии,1.5 hours,Short-term workshop,$50,Low,Up to 20 participants,Group
23,Soul,Creative Expression Retreat,Ретрит вдохновения и самовыражения,Half-day,One-day workshop,$100,Medium,Up to 15 participants,Group
24,Soul,Thai Cooking Experience,Мастер-класс по тайской кухне,3 hours,Short-term workshop,$120,Medium,Up to 8 participants,Solo/couple/group
25,Soul,Sacred Fire Ceremony,Ритуальная Церемония Огня,1 hour,Short-term workshop,$50,Low,Up to 15 participants,Group
26,Soul,Island Storytelling Nights,Магия островных Ночей,90 minutes,Short-term workshop,$30,Low,Up to 20 participants,Group
27,Soul,Photography Adventure,Фото-приключение,Half-day,One-day workshop,$80,Medium,Up to 12 participants,Group
28,Soul,Thai Lantern Release,Тайский Ритуал Запуска Фонариков,1.5 hours,Short-term workshop,$40,Low,Up to 20 participants,Group
29,Soul,Nature-Inspired Poetry Workshop,Поэзия природы,2 hours,Short-term workshop,$60,Medium,Up to 10 participants,Group
30,Soul,Temple Journey and Blessing,Храмовое Путешествие,Half-day,One-day workshop,$70,Medium,Up to 12 participants,Group